id,text,bio,label,lang
it_1231,La destra Italiana pur di non dire che loro odiano gli omosessuali che siano gay lgbt trans .....si inventano le peggiori minchiate....ora il problema della legge #DDLZan  è la parola Identità di Genere.....ovviamente a la #Salvini #omnibusla7,"Il rispetto per il prossimo qualunque sia il suo sesso , provenienza o religione non è legge,  è civiltà #facciamorete,",0,it
it_1713,"""Presupporre che tutti i bisessuali non sono mai attratti da persone trans o genderqueer è dannoso, non solo per gli individui bisessuali, ma anche per gli individui trans e genderqueer che scelgono di etichettarsi come bisessuali"" URL",𝓕𝓲𝓵𝓵𝓮𝓭 𝔀𝓲𝓽𝓱 𝓯𝓾𝓻𝔂 𝓪𝓷𝓭 𝓼𝓽𝓪𝓻𝓻𝔂 𝓮𝔂𝓮𝓭,0,it
it_1474,"Se i diritti devono essere uguali, voglio che chi odia me abbia lo stesso trattamento di chi odia un ricchione. #Libertà di odio. 
Per la violenza c'è già il codice penale. Se serve riscriverlo, lo si faccia.
#DDLZan",User Experience Designer URL,0,it
it_58,"che poi molti uomini trans subiscono lesbofobia per buona parte della loro vita e vi permettete di trattarli come degli uomini etero privilegiati, mi fate veramente schifo","no matter where i go, you're there …",0,it
it_511,Che poi è l’etero medio come Pio e Amedeo che va a trans la sera a farsi spaccare i cocchi! #pioeamedeo #LGBTQ #DDLZan #DDLZanLeggeControOmofobia #right  #HumanRights,"T'appartengo ed io ci tengo 
E se prometto poi mantengo 
M'appartieni se ci tieni 
Tu prometti e poi mantieni",0,it
it_1634,"con questo tweet stai invalidando tutte quelle persone trans e non binary che hanno lottato con loro stessi per accertarsi e contro altri per essere accettati, e stai incoraggiando a seguire gli stereotipi della società. Solo perché una persona ha dei tratti+",lu • buzzin • she/her • larry-ziam • beep boop @USER • TRACK 4 ON LT2,0,it
it_1798,@USER @USER comunque la tua transfobia traspare dal fatto che stai parlando di un uomo trans (da quello che ho capito è ftm) non rispettando i suoi pronomi e usando quelli she/her,"influenzer 
pansexual, genderqueer and polyamorous 🏳️‍🌈 ||
she/her ||
unito dams ||
fuck gender rules and the rules of society ||
bts || exo",0,it
it_665,"⚫️ MA LA VIOLENZA CONTRO I GAY E I TRANS PROPRIO NON VI INTERESSA? Cos’è, siete tutti malati di omofobia nel M5S? 
Prendete esempio dalla Svizzera che ha appena dichiarato reato l’omofobia! 
Pensate solo alle donne come se non esistessero altre categorie che subiscono violenze!👎🏿 URL","Studioso d’arte e musicofilo. Naturalista e Ambientalista. 5Stelle, polemico e molto critico. Non guardo talk show politici e tv spazzatura.",0,it
it_1200,"Ok allora se non sei in grado di dire altro mi spieghi perché dire ""le persone trans possono dire cosa è transfobia"" vale e ""gay/lesbiche possono dire cosa è omofobia"" no?",vivo in attesa del tè delle 5 // med // 22 🏳️‍🌈,0,it
it_523,"Odiata dai queer di twitter, dalle terf, dal twt calcio, dai novax, dai mattoncini e pure dalle altre persone trans io questa la chiamo supremazia dell’odio","they/them - agender (transfem/transneutral) - feminist (learning radical materialist feminists) - Gay - aspirante tossicologa, chemistry student",0,it
it_843,"@USER Perché se sono finocchi che vogliono deviare i tuoi figli con l’ideologia lgbt a scuola loro possono tutto, se invece tu vuoi avere il potere di decidere se inocularti o meno sei uno stronzo maledetto",,0,it
it_700,"Tw: transfobia
Vabbè se pensate che dire che una donna trans stia ""facendo finta di essere del sesso opposto quando tutti sappiamo la verità, che è un uomo"" e vi incazzate quando vi dicono che siete transfobiche che cazzo vi possiamo dire.","BLM  ||  veg🌿  ||   parlo un po' di weight bias e violenza di genere ||   White feminists don't interact  ||  ascoltate le minoranze

extra: @USER",0,it
it_1753,"tw: transfobia

quando dite che il femminismo non dovrebbe occuparsi delle donne trans perchè non sono vere donne™️ vorrei ricordavi che non esiste un'unica esperienza possibile dell'essere donna, che ciascun* di noi ha esperienze diverse e che questo non invalida quelle altrui -",23 - she/her - respect Giacomo Leopardi or die by my sword.,0,it
it_1770,io devo sapere chi è l'intern forcio che si occupa della musica a cortesie per gli ospiti URL,"19, he/him",1,it
it_1443,"E con la Trans flag ho concluso momentaneamente la mia LGBTQ series! Se qualcuno volesse commissionarmi una Flag che non è tra quelle, vi basta cercarmi in chat e la aggiungerò alla serie! 💕 Andate a lasciare un cuoricino all'ultima arrivata 😔💕💕","»Your Local Wish Shop ✨
»Commissions Open🌙
»Info in DM 🌵
»Spedizioni in tutta Italia 🌺",0,it
it_1626,"Luxuria a Salvini: non occuparsi della trans omofobia perché c'è il covid è sbagliato, il governo deve occuparsi di tutto. 
Ed occuparsi solo di malati covid tralasciando cardiopatici, malati di tumore, ecc. cos'è?","Ho girato il mondo, l'Italia era il posto più bello del mondo prima dell'invasione. Se siete pro accoglienza, evitatemi. Intollerante ai comunisti.",0,it
it_630,"ovvero tutti quei comportamenti pieni di misoginia e transfobia come l’idea che una donna trans non sarà mai donna o che sia meno donna se non si trucca o segue certi stereotipi femminili
but yes okei Carmela","dumb dumb | marxist-leninist | asexual | nonbinary | poc | artist | he/she/they | gender is a social construct, Jake Rodriguez said that and he’s freaking right",0,it
it_1104,"@USER @USER io ci vengo ai vostri raduni Gay Pride frocio lesbicotte e diversamentepigliainculo a ringraziarvi che mi fate schifo?.... no e se vengo creo, col mio comportamento situazioni PE RI CO LO SE..... la Leccarelli ha creato un PE RI CO LO per il figlio MINORE, ..... chi DEVE, indaghi",,0,it
it_1717,@USER @USER perché il femminismo si occupa di altro così come in un movimento per le persone trans le donne non trans sarebbero escluse. cosa c’è di difficile? gli etero sono inclusi nel movimento lgbt? a me non sembra sai,piangente come i salici || radfem,0,it
it_640,"Qui Selvaggia Lucarelli dà della trans a una ragazza.

Invidia, #Omofobia, stupidità?
Suo figlio lo sa? Se ne vergogna?

URL",3 ellle,0,it
it_625,girl siamo seri? la transofobia non si giustifica😉 una donna trans è una donna e se questo mette in crisi la tua identità da “femminista” vuol dire che non c’hai capito un cazzo. non ce la faccio più a scoprire sempre più gente schifosa😪,sparkling strangeness✨| rest in power chichi🖤 | UFB🧚🏻‍♀️,0,it
it_1155,A volte mi ricordo di quanto sia bello essere lella e non poterlo dire con fierezza a nessuno,She/Her,1,it
it_1641,propongo azione collettiva per accattare il podere e la canonica e farci una comune queer frocialista,"Ho varcato le sogne del male e ho osato dire cose infame. 
Un frocio nel corpo di una lesbica. 
Chi è un'Ama, mi segua.",1,it
it_876,"@USER i tuoi amici trans non sono tutta la comunità trans e andare ai festini lgbt non ti dà il pass per dire quello che ti pare, se una persona della comunità lgbt cerca di farti capire che hai detto una cazzata tu da persona cishet non dovresti insistere, capisci quello che ti pare.","21 - aries - he/him - eng/ita
(170809 ♡ 180617 ♡ 190703)
art acc @USER",0,it
it_776,E se scoprissimo che in realtà la forcia non è così cute ma in realtà ha l’atteggiamento tipico da diva di Hollywood? Trauma assicurato,"Fede•26 she/her🌈 “We all are ghost story, at the end.” / chi nasce torto, muore torto. Non si indritta.",1,it
it_1779,hanno fatto un discorso a tavola fra la differenza tra “frocio e ricchione” ci è mancato tanto così che avessi un attacco di ansia e buttassi giù tutto,she/her☺︎︎ || lg(b)t+ ˚ ༘ 𖤐࿐ ⌗ harry ♡ louis ⌗˚ ༘✶˚「☮︎︎yellow 🫀 (n.) 𝐻𝑎𝑟𝑟𝑦. ₊˚. ୭̥ 」må.05/04/2022 coez.13.03.2022,1,it
it_82,"@USER Queer all'inizio era un termine dispregiativo voleva dire checca, frocio ecc...con gli anni a seguire il termine perse il significato originario la comunità lgbt+ se ne appropriò e lo uso per indicare tutte le diversità sessuali.","Nobile punk decaduto, studente di filosofia a tempo perso. Divoratore di libri fumetti e film

Ho un quadro che dice cose intelligenti e invecchia al mio posto.",0,it
it_355,"@USER Noi froci abbiamo il simbolo arcobaleno perché stiamo sempre a fare l’amore, mica come voi etero che state sempre a farci la guerra",Il Seth Cohen (o forse più Ryan Atwood) di Twitter Tipica faccia da chi vive per l’aperitivo,1,it
it_1640,E comunque non sei lesbica sei pansessuale con preferenza per gli uomini trans quindi 50% queer 40% pan É 20% les… — ma fa 110% 💀 URL,di giorno guardo i video di crime e di notte piango sulla musica indie 🏳️‍🌈 / “bdv” perchè nessuno sa leggere @/btwgiuls (IG),0,it
it_1020,"""i forci devono smetterla di farti domande sul cazz0, se volete scopare o fidanzarvi ditelo direttamente, sicuro vi dirà di sì 🤪"" - Sicuramente sì #tellonym  URL",august slipped away into a moment in time🌾 (he/him),1,it
it_598,andando ad aggiungere loco loco alla playlist del pride di verona così la faranno sentire a tutti i froci locali,persona basica e noiosa | eurofan and Rosalía stan | he/him | 🇮🇹🇲🇰,1,it
it_210,"twitter è fatto principalmente di pensieri vari e cattiverie e forci pesanti che spammano donne che stannano a cazzo, io faccio parte di questi ed è una realtà che dobbiamo accettare URL",he|him,1,it
it_1097,Oggi il nostro #Pride2021 inizia a #Torino con la mostra fotografica su infanzia trans è un intervento su mondo del lavoro e diritti lgbtiq+. 🏳️‍⚧️🏳️‍⚧️🏳️‍⚧️ URL,A project not only for and about gender variant children. A project about gender itself.,0,it
it_996,"@USER @USER @USER “Frocio di merda” è omofobia, “ciccione di merda” è body shaming, “negro di merda” è razzismo ovvero xenofobia (non sono sinonimi). Sono tutte forme discriminatorie e violente",,0,it
it_304,"Tutta questa faccenda del supporto lgbt+ vi sta sfuggendo di mano. Se io sono gay o trans posso anche decidere di tenermelo per me, NON È CHE DEVO METTERE I MANIFESTI. Se tu vuoi farlo OK, ma non scassare le 🏐🏐 a chi non lo fa. NON È SEMPRE VERGOGNA, può essere riservatezza.","~Life is a daily oscillation between revolt and submission~ 20 yrs old. BTS italian stan. Kinda melancholic, kinda sweet. She/Her.",0,it
it_1289,"lo chiamate il ""paladino della lgbtq+ community"" ma non sa neanche la differenza tra drag queen e trans per favore è così imbarazzante URL","#CHUUYA: I trusted you... and used ʻtaintedʼ.                                 「bi ace, he/him, ⊙ libra ↑ sagittarius ☽ capricorn | @USER my dazai」",0,it
it_208,"escludere le DONNE trans da un movimento che ha come obiettivo L'UGUAGLIANZA e la lotta alle discriminazioni, è DISCRIMINARE. 
u can't change my mind.",solo lamentele,0,it
it_41,"@USER ITALEXIT.
Nel silenzio generale stanno predisponendo il DDL contro l'omofobia.Dire che i froci fanno schifo sarà presto reato. Questo tra il corona virus e il resto.","🇮🇹🏴🇷🇺
NO DM. RT=\ENDORSEMENT. Antisionista anti mussulmano anti massoneria no Euro",0,it
it_1127,@USER è transfobia se quando dice di essere una donna trans comincia a vederla come un uomo non se non gli/le attrae perché appunto se hai parlato di attrazione emozionale non era attratt* sessualmente nemmeno prima. una relazione non funziona se manca anche solo una tra le attrazioni,— ⠀9teen ☽☾ ♀️⌗JiMin’s bestie (REAL !!) ☆. . .,0,it
it_546,ho sentito omosessuali da parte di sgabello e mi sono risvegliata immediatamente devo capire perchè ha nominato i forcioni,she/her✨,1,it
it_205,"@USER tw transfobia , transphobia 
trans exclusionary radical feminist, sono sostanzialmente un gruppo di femministe radicali che sostengono solo il sesso biologico e quindi sostengono un femminismo transfobico escludendo le donne trans dal loro attivismo",☮︎ cannadipendente indie un po’ strega un po’ hippie ; infp-t ; she/her ; per i miei pensieri: @USER,0,it
it_212,"@USER @USER @USER Essere gay o trans non si insegna. E chiunque nella comunità LGBTI lo sa. A non saperlo è chi ha pregiudizi e ne vanno fieri al punto da continuare a diffonderli.

Tu forse non hai parlato con adolescenti gay che di omofobia ci sono quasi morti, io sì.","Passionate about Queen, Star Trek, Apple, Culmets and drawing. Thinker and supporter for equality of all people against discrimination (they/them).",0,it
it_1553,"Ma lultimo che ""froci"" e subito dopo ""LGbt 4ever e bla bla bla 😜😜😜"" haha so quirky haha I'm soooo random 🤣🤣🤣 la gente (non) ride alle mie battute!! Haha perché in realtà sono... INSULTI 😂😂😂🤣🤣🤣🤣😜😜😜😝💯🔝💯🔝",Too gay to apologize,0,it
it_437,@USER @USER Guarda che i diritti civili non sono solo quelli riguardanti gay e trans ma anche dei cittadini che vorrebbero lavorare e potersi curare normalmente ed uscire da questa situazione assurda creata ad arte per instaurare una tecnocrazia autoritaria.,"Marito, Padre, Analista e Sviluppatore Software, ex Tennista Dilettante, Tifoso della Juventus.",0,it
it_194,"il pride però no eh, i “travestiti” che si vestono come vogliono no eh, quello no!!!!! dio vi odio non riuscite proprio a capire avete la testa bacata",gonna start a revolution from my bed,0,it
it_1524,"Tw:transfobia

Allora quando si parla di una donna trans bisogna sempre e comunque, a costo di fare outing, specificare che è una donna TRANS ma se diciamo a una donna cis che è CIS siamo misogine 🤔🤔

OK terf URL","SOCIAL










        Feminist (intersectional leaning) 
She/her

             🇮🇹, ⚽ and 🦊 don't interact",0,it
